cont_id,transaction_id,payment_date,delivery_date,transaction_date,cont_residency_zip,store_name,prod_id,prod_family,prod_subfamily,prod_style,prod_name,other01,prod_category,prod_color,prod_price_net
100009780,100010013,12/29/2014,4/20/2015,12/29/2014,77469,MADISON,790159525,SOFAS,SOFA COMPLEMENTARY UNITS,LES CONTEMPORAINS,URBAN (TOSS CUSHIONS),SQUARE CUSHION N??3,FABRIC,FABRIC CAT. 03,472.68
100009781,100010017,12/30/2014,1/15/2015,12/30/2014,11801,MADISON,790161229,ACCESSORIES,TEXTILES,ACCESSORIES,OCTOBER 2013 COLLECTION - LINEN BED SET,GARANCE THROW TAUPE,nan,FABRIC,308
100009781,100010017,12/30/2014,1/15/2015,12/30/2014,11801,MADISON,100052461,DECO OBJETS DE DECORAT,OBJETS DE DECORATION,LES CONTEMPORAINS,GALET,GALET,SMALL,CHOCOLATE,206
100009781,100010017,12/30/2014,1/15/2015,12/30/2014,11801,MADISON,100052458,DECO OBJETS DE DECORAT,OBJETS DE DECORATION,LES CONTEMPORAINS,GALET,GALET,LARGE,MOKA,220
100009781,100010017,12/30/2014,1/15/2015,12/30/2014,11801,MADISON,100054445,MEUBLE CHAMBRE ADULTE,LITERIE,JUST FOR,BED LINENS,TOSCA ICEBLUE/ SILVER QUEEN FLAT SHEET,nan,nan,248
100009785,101702209,4/28/2017,11/13/2017,4/28/2017,10305,UPPER EAST SIDE,790231769,STORAGE UNITS,SIDEBOARDS,LES CONTEMPORAINS,ASTRAGALE,SIDEBOARD,FINISH,LACQUERED,4429.5
100009785,101702209,4/28/2017,11/13/2017,4/28/2017,10305,UPPER EAST SIDE,101700676,MEUBLE MEUBLES DE COMPLE,TABLE BASSE,LES CONTEMPORAINS,OVNI,ROUND COCKTAIL TABLE D.90,NO CATEGORY,TRANSPARENT,1724.65
100009785,101702209,4/28/2017,11/13/2017,4/28/2017,10305,UPPER EAST SIDE,101700675,MEUBLE MEUBLES DE COMPLE,TABLE BASSE,LES CONTEMPORAINS,OVNI,ROUND COCKTAIL TABLE D.70,NO CATEGORY,TRANSPARENT,1172.15
100009785,100010021,12/30/2014,6/17/2015,12/30/2014,nan,MADISON,790149168,ARMCHAIRS,INDEPENDENT ARMCHAIRS,NOUVEAUX CLASSIQUES,PROFILE,ARMCHAIR,FABRICS,FABRIC CAT. H,7225
100009791,100010031,1/3/2015,2/18/2015,1/3/2015,7105,MADISON,790138893,CHAIRS,BRIDGES,LES CONTEMPORAINS,MORGANA,BRIDGE,FABRICS,FABRICS CAT. 1,2832
100009791,100010031,1/3/2015,2/18/2015,1/3/2015,7105,MADISON,790157883,TABLES,DINING TABLES,LES CONTEMPORAINS,CHRONOS ANODISED,RECTANGULAR DINING TABLE 200X100 CM - 15MM GLASS,LEGS,ANODIZED LEGS,4479.3
100009791,100010031,1/3/2015,2/18/2015,1/3/2015,7105,MADISON,790063430,SOFAS,ARMCHAIRS (C),LES CONTEMPORAINS,TANGRAM,SWIVEL ARMCHAIR,LEATHER,VERONA LEATHER,1856
100009791,100010031,1/3/2015,2/18/2015,1/3/2015,7105,MADISON,790162586,SOFAS,STRAIGHT SOFAS,LES CONTEMPORAINS,TANGRAM,ROUND SOFA - EDGE ON LEFT,FABRIC,FABRIC CAT. 02,4730.4
100009792,100010030,1/3/2015,4/25/2015,1/3/2015,10016,MADISON,790148393,COMPLEMENTARY PIECES,OCCASIONAL TABLES,LES CONTEMPORAINS,RIBON,RIBON OCCASIONAL TABLE - 8,SPLIT LEATHER,SPLIT LEATHER,589.5
100009792,100012900,7/17/2016,12/29/2016,7/17/2016,10016,MADISON,790142298,COMPLEMENTARY PIECES,MISCELLANEOUS,LES CONTEMPORAINS,REVOL,CHINA CABINET 4 DOORS,FINISH,DAQUACRYL BLACK OR WHITE,5695
100009800,100010069,1/9/2015,5/21/2015,1/9/2015,10023,MADISON,790142771,TABLES,DINING TABLES,LES CONTEMPORAINS,MADAME O,ROUND DINING TABLE,METAL,WROUGHT IRON,1067.5
100009800,100010069,1/9/2015,5/21/2015,1/9/2015,10023,MADISON,790142775,CHAIRS,CHAIRS,LES CONTEMPORAINS,MADAME O,CHAIR,METAL,WROUGHT IRON,1736
100009800,100010057,1/7/2015,1/9/2015,1/7/2015,nan,MADISON,100054075,MEUBLE SALLE A MANGER,CHAISES ET BRIDGES,LES CONTEMPORAINS,JOLLY,UPHOLSTERED BARSTOOL SWIVEL METAL BASE,ADJUSTABLE HEIGHT,ECO-LEATHER,1632
100009806,100010073,1/9/2015,1/20/2015,1/8/2015,10011,MADISON,790151123,SOFAS,SOFA COMPLEMENTARY UNITS,LES CONTEMPORAINS,EXCLAMATION,SQUARE WOODEN TRAY,FABRIC,AS SHOWN,199
100009807,100010298,2/15/2015,6/29/2015,2/15/2015,11977,MADISON,100100313,DECO OBJETS DE DECORAT,OBJETS DE DECORATION,EXTERNE,RICE PLOUGH,RICE PLOUGH,nan,nan,1317
100009807,100010298,2/15/2015,6/29/2015,2/15/2015,11977,MADISON,790142994,ARMCHAIRS,ARMLESS CHAIRS,NOUVEAUX CLASSIQUES,METISSE,CHAUFFEUSE,TISSU,TQP OCTOBRE 2012,3213
100009809,101701639,7/27/2016,8/10/2016,7/27/2016,10013,UPPER EAST SIDE,790206457,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG (1/2),CORNER BACK,FABRICS,FABRIC CAT. F1,1504.5
100009809,101701639,7/27/2016,8/10/2016,7/27/2016,10013,UPPER EAST SIDE,790206638,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG (1/2),SEAT CUSHION,FABRICS,FABRIC CAT. O1,739.5
100009809,101701639,7/27/2016,8/10/2016,7/27/2016,10013,UPPER EAST SIDE,790206638,SOFAS,MODULAR SOFAS,LES CONTEMPORAINS,MAH JONG (1/2),SEAT CUSHION,FABRICS,FABRIC CAT. O1,1870
